Comunidad_Autonoma;Provincia
Andalucia;Almeria
Andalucia;Cadiz
Andalucia;Cordoba
Andalucia;Granada
Andalucia;Huelva
Andalucia;Jaen
Andalucia;Malaga
Andalucia;Sevilla
Aragon;Huesca
Aragon;Teruel
Aragon;Zaragoza
Asturias, Principado de;Asturias
Balears, Illes;Balears, Illes
Canarias;Palmas, Las
Canarias;Santa Cruz de Tenerife
Cantabria;Cantabria
Castilla - La Mancha;Albacete
Castilla - La Mancha;Ciudad Real
Castilla - La Mancha;Cuenca
Castilla - La Mancha;Guadalajara
Castilla - La Mancha;Toledo
Castilla y Leon;Burgos
Castilla y Leon;Leon
Castilla y Leon;Palencia
Castilla y Leon;Salamanca
Castilla y Leon;Segovia
Castilla y Leon;Soria
Castilla y Leon;Valladolid
Castilla y Leon;Zamora
Castilla y Leon;Avila
Cataluna;Barcelona
Cataluna;Girona
Cataluna;Lleida
Cataluna;Tarragona
Ceuta;Ceuta
Comunitat Valenciana;Alicante/Alacant
Comunitat Valenciana;Castellon/Castello
Comunitat Valenciana;Valencia/Valencia
Extremadura;Badajoz
Extremadura;Caceres
Galicia;Coruna, A
Galicia;Lugo
Galicia;Ourense
Galicia;Pontevedra
Madrid, Comunidad de;Madrid
Melilla;Melilla
Murcia, Region de;Murcia
Navarra, Comunidad Foral de;Navarra
Pais Vasco;Araba/Alava
Pais Vasco;Bizkaia
Pais Vasco;Gipuzkoa
Rioja, La;Rioja, La
