codigo_mes;provincia;municipio;total_contratos;contratos_hombres;contratos_mujeres
201601;Almeria;Abla;27;20;7
201601;Almeria;Abrucena;39;26;13
201601;Almeria;Adra;456;259;197
201601;Almeria;Albanchez;7;4;3
201601;Almeria;Alboloduy;6;3;3
201601;Almeria;Albox;194;106;88
201601;Almeria;Alcolea;96;65;31
201601;Almeria;Alcontar;13;6;7
201601;Almeria;Alcudia de Monteagud;5;2;3
201601;Almeria;Alhabia;20;12;8
201601;Almeria;Alhama de Almeria;43;23;20
201601;Almeria;Alicun;2;1;1
201601;Almeria;Almeria;5062;2652;2410
201601;Almeria;Almocita;8;6;2
201601;Almeria;Alsodux;0;0;0
201601;Almeria;Antas;374;312;62
201601;Almeria;Arboleas;65;52;13
201601;Almeria;Armuna de Almanzora;4;3;1
201601;Almeria;Bacares;13;7;6
201601;Almeria;Bayarcal;9;7;2
201601;Almeria;Bayarque;0;0;0
201601;Almeria;Bedar;3;3;0
201601;Almeria;Beires;1;0;1
201601;Almeria;Benahadux;110;67;43
201601;Almeria;Benitagla;3;2;1
201601;Almeria;Benizalon;10;7;3
201601;Almeria;Bentarique;14;6;8
201601;Almeria;Berja;319;193;126
201601;Almeria;Canjayar;31;19;12
201601;Almeria;Cantoria;122;103;19
201601;Almeria;Carboneras;165;129;36
201601;Almeria;Castro de Filabres;0;0;0
201601;Almeria;Cobdar;5;2;3
201601;Almeria;Cuevas del Almanzora;703;543;160
201601;Almeria;Chercos;6;0;6
201601;Almeria;Chirivel;37;16;21
201601;Almeria;Dalias;53;21;32
201601;Almeria;Enix;4;4;0
201601;Almeria;Felix;8;4;4
201601;Almeria;Fines;47;30;17
201601;Almeria;Finana;35;19;16
201601;Almeria;Fondon;30;14;16
201601;Almeria;Gador;57;46;11
201601;Almeria;Gallardos, Los;27;15;12
201601;Almeria;Garrucha;109;53;56
201601;Almeria;Gergal;38;24;14
201601;Almeria;Huecija;2;0;2
201601;Almeria;Huercal de Almeria;315;189;126
201601;Almeria;Huercal-Overa;391;271;120
201601;Almeria;Illar;10;4;6
201601;Almeria;Instincion;2;1;1
201601;Almeria;Laroya;5;2;3
201601;Almeria;Laujar de Andarax;70;44;26
201601;Almeria;Lijar;8;4;4
201601;Almeria;Lubrin;19;10;9
201601;Almeria;Lucainena de las Torres;66;42;24
201601;Almeria;Lucar;15;4;11
201601;Almeria;Macael;74;45;29
201601;Almeria;Maria;15;8;7
201601;Almeria;Mojacar;276;157;119
201601;Almeria;Nacimiento;8;4;4
201601;Almeria;Nijar;1178;673;505
201601;Almeria;Ohanes;14;8;6
201601;Almeria;Olula de Castro;7;0;7
201601;Almeria;Olula del Rio;86;37;49
201601;Almeria;Oria;68;37;31
201601;Almeria;Padules;12;7;5
201601;Almeria;Partaloa;14;8;6
201601;Almeria;Paterna del Rio;3;2;1
201601;Almeria;Pechina;78;37;41
201601;Almeria;Pulpi;1204;904;300
201601;Almeria;Purchena;33;15;18
201601;Almeria;Ragol;21;12;9
201601;Almeria;Rioja;70;23;47
201601;Almeria;Roquetas de Mar;1519;887;632
201601;Almeria;Santa Cruz de Marchena;0;0;0
201601;Almeria;Santa Fe de Mondujar;15;11;4
201601;Almeria;Senes;12;1;11
201601;Almeria;Seron;26;15;11
201601;Almeria;Sierro;9;4;5
201601;Almeria;Somontin;0;0;0
201601;Almeria;Sorbas;66;42;24
201601;Almeria;Sufli;8;5;3
201601;Almeria;Tabernas;130;80;50
201601;Almeria;Taberno;20;11;9
201601;Almeria;Tahal;31;25;6
201601;Almeria;Terque;17;11;6
201601;Almeria;Tijola;98;68;30
201601;Almeria;Turre;53;32;21
201601;Almeria;Turrillas;5;1;4
201601;Almeria;Uleila del Campo;33;24;9
201601;Almeria;Urracal;17;15;2
201601;Almeria;Velefique;1;1;0
201601;Almeria;Velez-Blanco;37;22;15
201601;Almeria;Velez-Rubio;81;30;51
201601;Almeria;Vera;270;165;105
201601;Almeria;Viator;240;148;92
201601;Almeria;Vicar;823;429;394
201601;Almeria;Zurgena;32;16;16
201601;Almeria;Tres Villas, Las;24;15;9
201601;Almeria;Ejido, El;4339;2134;2205
201601;Almeria;Mojonera, La;457;255;202
201601;Cadiz;Alcala de los Gazules;281;172;109
201601;Cadiz;Alcala del Valle;414;220;194
201601;Cadiz;Algar;70;38;32
201601;Cadiz;Algeciras;6798;5803;995
201601;Cadiz;Algodonales;284;145;139
201601;Cadiz;Arcos de la Frontera;1216;787;429
201601;Cadiz;Barbate;559;410;149
201601;Cadiz;Barrios, Los;962;577;385
201601;Cadiz;Benaocaz;30;20;10
201601;Cadiz;Bornos;209;97;112
201601;Cadiz;Bosque, El;129;66;63
201601;Cadiz;Cadiz;4895;2924;1971
201601;Cadiz;Castellar de la Frontera;172;125;47
201601;Cadiz;Conil de la Frontera;546;363;183
201601;Cadiz;Chiclana de la Frontera;1514;1036;478
201601;Cadiz;Chipiona;616;337;279
201601;Cadiz;Espera;250;182;68
201601;Cadiz;Gastor, El;68;26;42
201601;Cadiz;Grazalema;101;47;54
201601;Cadiz;Jerez de la Frontera;7602;4584;3018
201601;Cadiz;Jimena de la Frontera;195;144;51
201601;Cadiz;Linea de la Concepcion, La;792;386;406
201601;Cadiz;Medina-Sidonia;443;265;178
201601;Cadiz;Olvera;543;293;250
201601;Cadiz;Paterna de Rivera;122;61;61
201601;Cadiz;Prado del Rey;157;91;66
201601;Cadiz;Puerto de Santa Maria, El;2380;1505;875
201601;Cadiz;Puerto Real;1193;842;351
201601;Cadiz;Puerto Serrano;195;76;119
201601;Cadiz;Rota;791;442;349
201601;Cadiz;San Fernando;1335;648;687
201601;Cadiz;Sanlucar de Barrameda;2105;1138;967
201601;Cadiz;San Roque;1229;982;247
201601;Cadiz;Setenil de las Bodegas;237;105;132
201601;Cadiz;Tarifa;370;227;143
201601;Cadiz;Torre Alhaquime;64;34;30
201601;Cadiz;Trebujena;289;163;126
201601;Cadiz;Ubrique;629;350;279
201601;Cadiz;Vejer de la Frontera;333;190;143
201601;Cadiz;Villaluenga del Rosario;47;30;17
201601;Cadiz;Villamartin;586;292;294
201601;Cadiz;Zahara;120;78;42
201601;Cadiz;Benalup-Casas Viejas;209;94;115
201601;Cadiz;San Jose del Valle;145;60;85
201601;Cordoba;Adamuz;727;495;232
201601;Cordoba;Aguilar de la Frontera;1549;935;614
201601;Cordoba;Alcaracejos;65;42;23
201601;Cordoba;Almedinilla;313;168;145
201601;Cordoba;Almodovar del Rio;253;155;98
201601;Cordoba;Anora;33;21;12
201601;Cordoba;Baena;1613;1103;510
201601;Cordoba;Belalcazar;115;51;64
201601;Cordoba;Belmez;48;30;18
201601;Cordoba;Benameji;617;420;197
201601;Cordoba;Blazquez, Los;45;26;19
201601;Cordoba;Bujalance;938;567;371
201601;Cordoba;Cabra;2050;1248;802
201601;Cordoba;Canete de las Torres;1266;878;388
201601;Cordoba;Carcabuey;207;121;86
201601;Cordoba;Cardena;106;90;16
201601;Cordoba;Carlota, La;447;262;185
201601;Cordoba;Carpio, El;167;105;62
201601;Cordoba;Castro del Rio;1039;710;329
